Game,As of,Genre(s),Developer(s),Publisher(s),Copies_sold,Release_date,Metacritic_url,Critic_score,User_score,Number_of_critic_reviews,Number_of_user_reviews,Description,Price,Image
Among Us,"December 31, 2020",Party social deduction,Innersloth,Innersloth,3.2 million,12/15/2020,https://www.metacritic.com/game/among-us,85.0,6.8,9.0,418.0,"An online and local party game of teamwork and betrayal for 4-10 players...in space!
",14.2121,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Among_Us_cover_art.jpg/220px-Among_Us_cover_art.jpg
Metroid Dread,"December 31, 2022",Action-adventure,MercurySteamNintendo EPD,Nintendo,3.07 million,10/08/2021,https://www.metacritic.com/game/metroid-dread,88.0,8.7,133.0,2906.0,Join intergalactic bounty hunter Samus Aran in her first new 2D Metroid™ story in 19 years. Samus’ story continues after the events of the Metroid™ Fusion game when she descends upon planet ZDR to investigate a mysterious transmission sent to the Galactic Federation. The remote planet has become overrun by vicious alien lifeforms and chi... ,47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Metroid_Dread_Banner.png/220px-Metroid_Dread_Banner.png
New Pokémon Snap,"May 15, 2022",Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo,2.74 million,04/30/2021,https://www.metacritic.com/game/new-pokemon-snap,79.0,6.9,122.0,672.0,"Photograph Pokémon in their natural habitats as you adventure through unknown islands. Seek out and take in-game pictures of Pokémon in their native environments in the New Pokémon Snap game, only for the Nintendo Switch system! You'll even discover behaviors and expressions you've never seen before when you encounter and research lively... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/f/f1/Newpokemonsnap.png/220px-Newpokemonsnap.png
Arms,"December 31, 2022",Fighting,Nintendo EPD,Nintendo,2.72 million,06/16/2017,https://www.metacritic.com/game/arms,77.0,7.1,104.0,854.0,"The first fighting game of its kind. Choose a fighting champion from around the world, equip your own combination of extendable arms, and then use a mix of button presses and quick hand motions to really take the fight to your opponent. Throw punches and guide them midflight to hit agile fighters, avoid incoming attacks with dashes, or t... ",N/A,
Xenoblade Chronicles 2,"December 31, 2022",Action role-playing,Monolith Soft,Nintendo,2.7 million,12/01/2017,https://www.metacritic.com/game/xenoblade-chronicles-2,83.0,8.5,97.0,2555.0,"Search for the ultimate paradise, Elysium, with your companion, Pyra.

Explore an endless ocean of clouds, where the last remnants of civilization live on the backs of colossal beasts called Titans. Experience the story of Rex and his new friend, Pyra, a mysterious being known as a Blade who grants him tremendous power. Together, searc... ",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Xenoblade_Chronicles_2.jpg/220px-Xenoblade_Chronicles_2.jpg
Pikmin 4,"September 30, 2023",Real-time strategy,Nintendo EPD,Nintendo,2.61 million,07/21/2023,https://www.metacritic.com/game/pikmin-4,87.0,9.0,122.0,732.0,"Chart a mysterious planet with curious plantlike Pikmin that come in different types in Pikmin 4 - like the brand-new Ice Pikmin! The capable canine, Oatchi, will also help to overcome big challenges.",N/A,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Pikmin_icon_4.jpg/220px-Pikmin_icon_4.jpg
Mario Strikers: Battle League,"March 31, 2023",Sports,Next Level Games,Nintendo,2.54 million,06/10/2022,https://www.metacritic.com/game/mario-strikers-battle-league,73.0,4.4,117.0,439.0,"[Also known as ""Mario Strikers: Battle League Football""] Tackle, pass, and score in battle soccer with the Mushroom Kingdom gang. Introducing Strike, a 5-on-5, soccer-like sport with no rules—do whatever it takes to win! Get gritty and try to score the most goals by tackling enemies, using items, and pulling off score-boosting special sh... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Mario_strikers_battle_league.jpeg/220px-Mario_strikers_battle_league.jpeg
Mario Golf: Super Rush,"December 31, 2022",Sports,Camelot Software Planning,Nintendo,2.48 million,06/25/2021,https://www.metacritic.com/game/mario-golf-super-rush,70.0,5.6,115.0,265.0,"Tee off with family and friends in the biggest Mario Golf game yet. Hit the green with up to four players locally* or online** and golf with familiar Mushroom Kingdom characters. Modes range from Standard Golf to the energetic Speed Golf and an RPG-like golf adventure in story mode. Intuitive motion or button controls, a shot gauge that ... ",47.392100000000006,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/Mario_Golf_Super_Rush_Pre-Release_Logo.jpeg/220px-Mario_Golf_Super_Rush_Pre-Release_Logo.jpeg
Dragon Ball FighterZ,"December 31, 2022",Fighting,Arc System Works,Bandai Namco Entertainment,2.43 million,09/27/2018,https://www.metacritic.com/game/dragon-ball-fighterz,87.0,8.0,78.0,723.0,"After the success of the Xenoverse series, its time to introduce a new classic 2D DRAGON BALL fighting game for this generations consoles. DRAGON BALL FighterZ is born from what makes the DRAGON BALL series so loved and famous: endless spectacular fights with its allpowerful fighters. Partnering with Arc System Works, DRAGON BALL Fighter... ",20.8955,https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/DBFZ_cover_art.jpg/220px-DBFZ_cover_art.jpg
Pikmin 3 Deluxe,"December 31, 2022",Real-time strategy,Eighting,Nintendo,2.4 million,10/30/2020,https://www.metacritic.com/game/pikmin-3-deluxe,85.0,8.6,95.0,259.0,No mission is too big for the tiny Pikmin. Touch down on a world of rich adventure with Pikmin 3 Deluxe for Nintendo Switch. Command a capable crop of tiny creatures and explore a hostile planet in this exciting blend of action and strategy. Use each Pikmin type's unique skills to overcome obstacles and open up a diverse world around you... ,46.9971,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/Pikmin_3_box_artwork.png/220px-Pikmin_3_box_artwork.png
Captain Toad: Treasure Tracker,"December 31, 2022",Action puzzle,Nintendo EPD,Nintendo,2.35 million,07/13/2018,https://www.metacritic.com/game/captain-toad-treasure-tracker,81.0,8.6,78.0,488.0,"The intrepid Captain Toad sets off on his own adventure for the very first time through a wide variety of tricky, enemy-infested, maze-like stages to find hidden gems and nab elusive gold stars.",29.222100000000005,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/CaptainToadtreasuretracker.png/220px-CaptainToadtreasuretracker.png
Taiko no Tatsujin: Drum 'n' Fun!,"December 31, 2022",Rhythm,Bandai Namco Studios,Bandai Namco Entertainment,2.27 million,07/19/2018,https://www.metacritic.com/game/taiko-no-tatsujin-drum-n-fun,78.0,8.1,22.0,53.0,Enjoy the cult classic arcade rhythm game from Japan in the comfort of your own home! Play to the beat using your own drum with wide variety of new songs and challenge your friends to prove who has the best taiko skills. Use motion controls to enjoy Taiko like never before! Unlock beloved characters to help you on your journey to become ... ,N/A,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/Taiko_no_Tatsujin_Switch.jpg/220px-Taiko_no_Tatsujin_Switch.jpg
Octopath Traveler,"January 2, 2022",Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo,2.16 million,07/13/2018,https://www.metacritic.com/game/octopath-traveler,83.0,8.4,87.0,1439.0,"Embark on a vast new role-playing adventure as one of eight travelers, all with their own origins, paths, and goals. The producers of the Bravely series at Square Enix have brought a new world to life through a mix of CG, pixel art, and ""HD-2D"" visuals. Embark on a vast new role-playing adventure as one of eight travelers, all with their... ",43.410500000000006,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Octopath_Traveler.jpg/220px-Octopath_Traveler.jpg
